Line Name,Rest Value,Error,Reference
CIV 12-9,1.0546
CIV 8-7,1.1908
CIV 16-11,1.3068
CIV 17-12,1.6351
CIV 2D-2P,1.6637
CIV 9-8,1.7368
CIV 2D-2P,2.0802
CIV 15-12,2.2782
CIV 17-13,2.3182
CIV 13-11,2.4264
CIV 10-9,2.4285
CIII 3D-3P,0.9721
CIII 3P-3S,1.19946
CIII 15-9,1.2806
CIII 1P-1S,2.10806
CIII 8-7,2.1143
CIII 3P-3S,2.32473
CII 4D-4P,0.987
NIII 2P3/2-2S1/2,2.0995
NIII 2P3/2-2S1/2,2.2471
NIII 2P1/2-2D1/2,2.2513
NIV 1P-1S,1.18670
NaI 2P-2S,2.2083
NaI 2D-2P,2.345
MgI 1P-1S,2.28494
AlI y2D-2P,1.677
CaI 3D-3P,1.615965
CaI 3P-3S,2.2604
FeI Many,1.58
